protestant	A	protestantisch, evangelisch
protestant	N	protestant, evangelische
pardon	V	begnadigen, entschuldigen, vergeben, verzeihen
pardon	N	begnadigung, verzeihung, entschuldigung, pardon, vergebung, gnade, amnestie
dynamic	A	dynamisch, forsch, zackig
yellow	A	gelb, gelbblond, schlapp, feige
yellow	N	gelb, eigelb, feigheit
nursery	N	kinderzimmer, säuglingssaal, kindergarten, hort, gärtnerei, baumschule, zuchtstätte
sleep	V	schlafen, übernachten
sleep	N	schlaf
controversial	A	kontrovers, strittig, umstritten
climb	V	erklettern, klettern, besteigen, steigen, aufsteigen, ersteigen, hochgehen
climb	N	auffahrt, tour, anstieg, aufstieg
ridiculous	A	lächerlich, albern, unmöglich, affig
captain	V	führen, anführen, befehligen
captain	N	hauptmann, kapitän, anführer, kommandant, mannschaftskapitän, rittmeister
hate	V	hassen, verabscheuen, ausstehen: nicht ausstehen können, leiden: nicht leiden können
hate	N	hass
forget	V	vergessen, verlernen, verschusseln, verschwitzen, vergessen: sich vergessen, rolle: aus der rolle fallen
voter	N	wähler
calculate	V	rechnen, berechnen, errechnen, ausrechnen, kalkulieren, bemessen, ansetzen, registrieren
electricity	N	elektrizität, strom
disability	N	behinderung, arbeitsunfähigkeit, invalidität, unvermögen
bike	V	radeln
bike	N	maschine, fahrrad, rad
restriction	N	beeinträchtigung, beengtheit, begrenzung, beschränkung, einengung, einschränkung, festlegung, gebundenheit
trousers	N	hose
lord	N	herr, lord, meister, gebieter
sorry	A	traurig, jämmerlich, faul
pride	N	stolz, hochmut, hoffart, rudel
worth	A	wert
worth	N	wert, geltung
merchant	A	handels-
merchant	N	kaufmann, händler, typ
statute	N	satzung, gesetz, statut
rescue	V	retten, erretten, befreien, bergen, erlösen
rescue	N	rettung, errettung, befreiung, bergung
chancellor	N	kanzler
commerce	N	handel
desirable	A	erwünscht, wünschenswert, angenehm, begehrenswert, begehrt, erstrebenswert
regional	A	regional, landschaftlich, heimisch
peripheral	A	nebensächlich, peripher
peripheral	N	zusatzgerät
govern	V	regieren, verwalten, leiten, bestimmen, beeinflussen, steuern, beherrschen
politician	N	politiker, politikerin, staatsmann
excited	A	aufgeregt, erregt
